PSN|EMAIL|PARTNER_ID
913MEV0P|y63iqzb1@gmail.com|8
LXCF868H|tbxwgc0e@example.com|4
LXCF868H|k32cwba2@example.com|4
TX66FUPO|5d8xpitw@gmail.com|4
TX66FUPO|asadf7vg@hotmail.com|4
TX66FUPO|n907yh9p@gmail.com|4
DQA3VB7J|vzlav7hd@example.com|9
DQA3VB7J|u3ify0vd@gmail.com|9
E5E33YS1|rvggushr@outlook.com|1
E5E33YS1|b4yo3yqf@hotmail.com|1
VYUAUEVE|l7rtfaeg@yahoo.com|5
VYUAUEVE|6egcoth8@hotmail.com|5
VYUAUEVE|vzlav7hd@example.com|5
EQP1P53K|gu7suz0q@outlook.com|1
EQP1P53K|7c8mk96c@example.com|1
CSBXO0W2|495xjrko@outlook.com|1
CSBXO0W2|nmw4wrgp@example.com|1
AZBE598I|5184mawf@hotmail.com|1
AZBE598I|47dsgs96@hotmail.com|1
05N8FN29|rvggushr@outlook.com|2
N5AGOWA8|gu7suz0q@outlook.com|2
PVYIMZXW|i597vdnv@outlook.com|2
PVYIMZXW|q6gxfmw1@hotmail.com|2
YSDTA7IV|l3uwofi4@example.com|5
7AAHMU94|f1tgh8he@yahoo.com|1
KIMULPDJ|awlcl1e0@outlook.com|5
KIMULPDJ|h62gy2jl@hotmail.com|5
6AEKDCS0|5eshrm6s@outlook.com|9
6AEKDCS0|7xe0qnli@yahoo.com|9
6AEKDCS0|flbpsady@outlook.com|9
6AEKDCS0|p32pgkzh@example.com|9
M0M03T6F|mxjgazsf@outlook.com|1
S2BBWBQJ|nnr3456r@gmail.com|5
S2BBWBQJ|ir1l3w8y@gmail.com|5
B5KSS7DD|l3qekwqg@outlook.com|2
B5KSS7DD|vijt2idp@gmail.com|2
87GDQ29P|farbsra9@outlook.com|3
87GDQ29P|zkevlx7n@example.com|3
87GDQ29P|9un43273@gmail.com|3
HDS6IYXI|rg552l4e@gmail.com|2
A66U0X3P|4km5fkhj@yahoo.com|6
A66U0X3P|45oi6muh@yahoo.com|6
T7UKBXC0|p28uc8zm@example.com|1
T7UKBXC0|fkli01ug@hotmail.com|1
F21SXL0J|ir1l3w8y@gmail.com|2
F21SXL0J|2a82rn32@yahoo.com|2
EASBXQFA|zl0c99v6@hotmail.com|8
WS9XYERJ|low6yvez@yahoo.com|6
U9JW41JG|dmcq1l9v@gmail.com|9
U9JW41JG|wyue1x57@example.com|9
U9JW41JG|g5l4rlti@hotmail.com|9
N5O05PUX|zkevlx7n@example.com|1
ZMMX7L6I|rzq8wtu8@example.com|10
XLEGA7L6|rryk34oi@example.com|4
XLEGA7L6|6e1p3ize@hotmail.com|4
XLEGA7L6|3ls5kj1z@yahoo.com|4
0HKXAC1D|fkli01ug@hotmail.com|3
L0GLVONC|x3chuio5@gmail.com|8
L0GLVONC|zvt3k4nu@outlook.com|8
T24AZZGW|3ls5kj1z@yahoo.com|1
T24AZZGW|meisu4v8@gmail.com|1
N7Q7Z7QK|gmvljatz@outlook.com|7
N7Q7Z7QK|p765ctg6@hotmail.com|7
9WQAT5XX|8sgng8i1@gmail.com|1
